Cust_ID,Inv_No,Photo_Type,Inv_Date,Amount
13490,44006,Passport,2013-01-01,27.740000000000002
6403,44007,Wedding.,2013-01-01,320.11
9318,44008,SelfTaken,2013-01-01,21.7
6237,44009,SelfTaken.,2013-01-01,25.55
7416,44010,Engagement.,2013-01-01,320.3
11796,44011,SelfTaken,2013-01-01,27.91
14562,44012,Official,2013-01-01,28.490000000000002
8403,44013,Passport.,2013-01-01,24.98
5087,44014,School,2013-01-01,40.55
6426,44015,Engagement.,2013-01-01,329.99
6332,44016,SelfTaken.,2013-01-01,26.91
2815,44017,Engagement,2013-01-01,328.48
16249,44018,Official.,2013-01-01,20.15
2785,44019,Passport,2013-01-01,22.759999999999998
11146,44020,SelfTaken.,2013-01-01,26.11
5370,44021,Passport,2013-01-01,23.98
11733,44022,Engagement,2013-01-01,322.77
9644,44023,Official.,2013-01-01,26.25
6841,44024,Official,2013-01-01,35.78
4452,44025,Wedding,2013-01-01,336.94
8515,44026,,2013-01-01,26.560000000000002
11833,44027,Official,2013-01-01,23.7
9060,44028,School.,2013-01-01,26.79
3047,44029,Official,2013-01-01,29.64
13651,44030,School,2013-01-01,28.38
4959,44031,Wedding,2013-01-01,323.89
4988,44032,Passport,2013-01-01,39.93
14879,44033,Official,2013-01-01,32.379999999999995
3284,44034,Wedding,2013-01-01,320.78
8702,44035,Official,2013-01-01,37.49
8803,44036,SelfTaken,2013-01-01,36.66
5254,44037,Official,2013-01-01,28.73
9240,44038,Engagement,2013-01-01,330.05
3977,44039,Engagement,2013-01-01,332.06
12100,44040,School,2013-01-01,30.95
5913,44041,Passport,2013-01-01,32.58
7190,44042,Official.,2013-01-01,22.84
13045,44043,SelfTaken.,2013-01-01,33.94
2702,44044,Wedding.,2013-01-01,344.17
4308,44045,School.,2013-01-01,22.91
4417,44046,Passport.,2013-01-01,35.7
5311,44047,Official,2013-01-01,26.97
5997,44048,SelfTaken.,2013-01-01,28.28
15976,44049,SelfTaken.,2013-01-01,40.4
7733,44050,School.,2013-01-01,33.41
16887,44051,Official,2013-01-01,30.07
9320,44052,Official,2013-01-01,21.7
13751,44053,Engagement.,2013-01-01,331.18
10756,44054,Official.,2013-01-01,29.46
5937,44055,Wedding.,2013-01-01,322.81
7200,44056,Engagement.,2013-01-01,325.43
16043,44057,School.,2013-01-01,38.85
13681,44058,Wedding,2013-01-01,324.11
14450,44059,Official,2013-01-01,22.17
13570,44060,Passport,2013-01-01,29.5
14385,44061,SelfTaken,2013-01-01,42.629999999999995
3283,44062,Official.,2013-01-01,27.759999999999998
3066,44063,Wedding,2013-01-01,326.67
5512,44064,Wedding,2013-01-01,334.7
11818,44065,Passport,2013-01-01,42.010000000000005
13226,44066,Official.,2013-01-01,27.35
11692,44067,Passport.,2013-01-01,22.58
9118,44068,Engagement.,2013-01-01,340.78
4328,44069,SelfTaken.,2013-01-01,21.85
12832,44070,Wedding.,2013-01-01,331.67
13684,44071,Engagement.,2013-01-01,341.29
2894,44072,SelfTaken.,2013-01-01,22.08
13396,44073,SelfTaken,2013-01-01,31.61
7019,44074,Engagement.,2013-01-01,328.49
12689,44075,Passport,2013-01-01,31.52
6692,44076,School.,2013-01-01,38.68
7069,44077,Official,2013-01-01,40.790000000000006
8527,44078,Engagement,2013-01-01,320.86
9027,44079,School.,2013-01-01,24.490000000000002
6549,44080,SelfTaken.,2013-01-01,26.83
14053,44081,Passport.,2013-01-01,34.91
11131,44082,SelfTaken,2013-01-01,37.370000000000005
10550,44083,,2013-01-01,28.93
12841,44084,SelfTaken,2013-01-01,26.38
15416,44085,Wedding,2013-01-01,325.4
15507,44086,SelfTaken.,2013-01-01,30.66
16701,44087,School,2013-01-01,33.49
11367,44088,Wedding,2013-01-01,321.81
11423,44089,Wedding,2013-01-01,336.86
5609,44090,,2013-01-01,24.9
10501,44091,Official.,2013-01-01,34.82
4678,44092,SelfTaken.,2013-01-01,37.42
13921,44093,Engagement,2013-01-01,326.04
15451,44094,Engagement.,2013-01-01,324.97
11228,44095,School.,2013-01-01,30.18
16097,44096,Official,2013-01-01,41.709999999999994
2962,44097,School.,2013-01-01,24.38
10851,44098,SelfTaken.,2013-01-01,32.66
15273,44099,School,2013-01-01,29.759999999999998
9301,44100,Official.,2013-01-01,21.35
11220,44101,Wedding.,2013-01-01,332.18
7472,44102,Engagement,2013-01-01,325.62
3442,44103,Passport.,2013-01-01,35.75
16178,44104,School,2013-01-01,28.060000000000002
16029,44105,Engagement.,2013-01-01,328.72
14990,44106,SelfTaken,2013-01-01,33.03
12747,44107,Passport.,2013-01-01,25.8
10987,44108,SelfTaken.,2013-01-01,30.700000000000003
8213,44109,Wedding,2013-01-01,327.43
6228,44110,Passport.,2013-01-01,26.57
9800,44111,Official,2013-01-01,21.6
9064,44112,Official.,2013-01-01,21.21
4785,44113,SelfTaken,2013-01-01,22.5
5642,44114,Passport,2013-01-01,23.189999999999998
7544,44115,Passport.,2013-01-01,20.72
8430,44116,SelfTaken.,2013-01-01,25.29
12452,44117,,2013-01-01,28.83
15506,44118,Passport.,2013-01-01,26.03
13351,44119,Official.,2013-01-01,36.22
11855,44120,SelfTaken.,2013-01-01,20.92
13393,44121,SelfTaken,2013-01-01,24.62
11718,44122,School.,2013-01-01,20.939999999999998
3826,44123,Engagement,2013-01-01,323.81
8776,44124,School,2013-01-01,20.79
10299,44125,Passport,2013-01-01,29.16
9155,44126,Passport.,2013-01-01,24.060000000000002
3387,44127,Engagement.,2013-01-01,321.6
9632,44128,Wedding,2013-01-01,320.75
11843,44129,Wedding.,2013-01-01,338.49
12930,44130,Official,2013-01-01,27.69
16399,44131,Engagement,2013-01-01,338.73
8495,44132,School.,2013-01-01,33.83
12528,44133,Passport.,2013-01-01,38.01
12453,44134,School,2013-01-01,37.57
9923,44135,School.,2013-01-01,41.08
16930,44136,Engagement.,2013-01-01,331.69
12059,44137,Engagement,2013-01-01,323.96
7038,44138,School.,2013-01-01,30.52
16883,44139,School,2013-01-01,28.22
14168,44140,Passport.,2013-01-01,25.47
11102,44141,School.,2013-01-01,31.200000000000003
5417,44142,Official.,2013-01-01,21.240000000000002
6914,44143,SelfTaken.,2013-01-02,27.21
6151,44144,Engagement,2013-01-02,330.25
16457,44145,Engagement,2013-01-02,327.47
13086,44146,Passport,2013-01-02,36.59
8369,44147,Engagement,2013-01-02,321.4
7691,44148,Wedding.,2013-01-02,327.71
7257,44149,Engagement.,2013-01-02,320.69
3280,44150,Wedding.,2013-01-02,332.35
6795,44151,School,2013-01-02,20.939999999999998
3435,44152,School.,2013-01-02,49.489999999999995
16044,44153,School.,2013-01-02,41.64
11050,44154,Passport.,2013-01-02,26.27
6386,44155,Official.,2013-01-02,30.08
7907,44156,SelfTaken.,2013-01-02,24.38
7715,44157,Wedding,2013-01-02,333.23
6814,44158,School.,2013-01-02,23.810000000000002
10963,44159,SelfTaken,2013-01-02,29.91
16257,44160,Official.,2013-01-02,20.71
15107,44161,School.,2013-01-02,22.98
4133,44162,,2013-01-02,29.759999999999998
16694,44163,,2013-01-02,20.57
6549,44164,School,2013-01-02,30.240000000000002
7916,44165,,2013-01-02,34.4
3164,44166,School,2013-01-02,21.47
13501,44167,Passport,2013-01-02,21.34
11750,44168,Official.,2013-01-02,23.53
6815,44169,Official.,2013-01-02,22.17
14739,44170,SelfTaken,2013-01-02,22.189999999999998
7301,44171,SelfTaken.,2013-01-02,28.38
9296,44172,Passport,2013-01-02,24.490000000000002
5038,44173,SelfTaken,2013-01-02,21.52
3601,44174,School,2013-01-02,35.0
6596,44175,SelfTaken,2013-01-02,30.700000000000003
11102,44176,Passport.,2013-01-02,29.060000000000002
6576,44177,SelfTaken.,2013-01-02,31.6
2736,44178,School,2013-01-02,25.86
3963,44179,Engagement,2013-01-02,328.18
2563,44180,SelfTaken.,2013-01-02,22.08
7677,44181,Official.,2013-01-02,30.09
5297,44182,Official,2013-01-02,21.12
4930,44183,Wedding.,2013-01-02,334.53
9997,44184,,2013-01-02,25.89
14652,44185,School,2013-01-02,22.25
12396,44186,Passport,2013-01-02,40.35
5573,44187,Wedding,2013-01-02,324.34
13024,44188,Official.,2013-01-02,35.0
14703,44189,Official,2013-01-02,20.990000000000002
11422,44190,School.,2013-01-02,29.96
13799,44191,Official.,2013-01-02,21.36
8143,44192,,2013-01-02,27.189999999999998
9542,44193,Engagement.,2013-01-02,330.47
7989,44194,SelfTaken,2013-01-02,26.7
3697,44195,Engagement.,2013-01-02,323.56
9265,44196,Official.,2013-01-02,29.060000000000002
14729,44197,Official.,2013-01-02,27.97
10358,44198,Official.,2013-01-02,21.39
4974,44199,Wedding.,2013-01-02,329.68
8788,44200,Official.,2013-01-02,30.86
2868,44201,Passport,2013-01-02,22.71
15919,44202,Engagement,2013-01-02,323.37
12954,44203,,2013-01-02,23.810000000000002
10176,44204,Passport,2013-01-02,25.97
16142,44205,Engagement,2013-01-02,345.40999999999997
8588,44206,Engagement,2013-01-02,340.27
6630,44207,Passport.,2013-01-02,25.5
10143,44208,Official.,2013-01-02,24.66
8936,44209,Passport.,2013-01-02,21.490000000000002
14089,44210,School,2013-01-02,31.78
4611,44211,SelfTaken,2013-01-02,28.369999999999997
7703,44212,,2013-01-02,26.259999999999998
8513,44213,,2013-01-02,22.009999999999998
8440,44214,SelfTaken,2013-01-02,29.5
4078,44215,Official.,2013-01-02,23.94
16981,44216,SelfTaken,2013-01-02,24.3
4044,44217,School.,2013-01-02,40.58
14145,44218,Engagement.,2013-01-02,329.51
10865,44219,Wedding.,2013-01-02,331.13
6139,44220,School,2013-01-02,31.12
3022,44221,Passport,2013-01-02,35.23
7864,44222,,2013-01-02,23.259999999999998
3187,44223,School,2013-01-02,30.229999999999997
4639,44224,Wedding,2013-01-02,325.91
3017,44225,Wedding.,2013-01-02,333.82
13228,44226,SelfTaken.,2013-01-02,24.0
4054,44227,Official,2013-01-02,21.59
8274,44228,Wedding,2013-01-02,324.95
14241,44229,Official,2013-01-02,22.88
15185,44230,School,2013-01-02,21.490000000000002
15357,44231,Passport.,2013-01-02,25.23
10545,44232,Wedding.,2013-01-02,328.47
8136,44233,Engagement.,2013-01-02,323.71
3256,44234,SelfTaken.,2013-01-02,23.490000000000002
14012,44235,Passport.,2013-01-02,21.7
10927,44236,Official.,2013-01-02,21.380000000000003
9476,44237,Passport,2013-01-02,22.12
7522,44238,Engagement,2013-01-02,335.85
10018,44239,SelfTaken,2013-01-02,20.07
9842,44240,School.,2013-01-02,25.3
8841,44241,SelfTaken.,2013-01-02,20.09
13037,44242,Passport,2013-01-02,32.73
7027,44243,School.,2013-01-02,20.759999999999998
15151,44244,,2013-01-02,27.47
6306,44245,School.,2013-01-02,31.72
15165,44246,School,2013-01-02,28.48
11064,44247,,2013-01-02,29.86
14661,44248,Wedding.,2013-01-02,320.94
6535,44249,School.,2013-01-02,38.480000000000004
13620,44250,School,2013-01-02,31.78
15763,44251,Passport.,2013-01-02,24.64
16703,44252,Engagement,2013-01-02,321.23
10103,44253,Engagement.,2013-01-02,334.04
11662,44254,Passport,2013-01-02,29.490000000000002
14195,44255,Engagement.,2013-01-02,336.05
10569,44256,Official,2013-01-02,26.27
10156,44257,School.,2013-01-02,22.61
6855,44258,SelfTaken.,2013-01-02,34.79
10849,44259,School.,2013-01-02,32.84
11167,44260,Wedding.,2013-01-02,326.44
10369,44261,Passport.,2013-01-02,35.9
12527,44262,Official.,2013-01-02,20.5
4977,44263,Official,2013-01-02,28.45
9675,44264,Official.,2013-01-02,29.09
5277,44265,Passport,2013-01-02,26.58
11478,44266,Engagement,2013-01-02,326.11
10750,44267,Passport,2013-01-02,22.38
7575,44268,School.,2013-01-02,37.010000000000005
15925,44269,,2013-01-02,25.5
15348,44270,Passport,2013-01-02,29.939999999999998
16918,44271,Wedding,2013-01-02,335.09
7804,44272,SelfTaken.,2013-01-02,22.259999999999998
8672,44273,School.,2013-01-02,25.05
6216,44274,School.,2013-01-02,30.2
10660,44275,Wedding,2013-01-02,333.73
7600,44276,Passport.,2013-01-02,27.810000000000002
13139,44277,Engagement.,2013-01-02,323.45
16353,44278,Engagement.,2013-01-02,325.52
15109,44279,Official.,2013-01-02,20.6
15959,44280,SelfTaken,2013-01-02,20.869999999999997
7151,44281,School.,2013-01-02,35.36
5834,44282,Official.,2013-01-02,33.9
15965,44283,Engagement.,2013-01-02,325.27
14164,44284,Passport.,2013-01-02,22.55
9780,44285,SelfTaken.,2013-01-02,25.95
6644,44286,Passport.,2013-01-02,26.1
13768,44287,School.,2013-01-02,29.35
8073,44288,Passport,2013-01-02,29.08
12110,44289,Official.,2013-01-02,26.96
10414,44290,Official,2013-01-02,25.29
8462,44291,Official.,2013-01-02,21.310000000000002
7639,44292,School,2013-01-02,20.25
7110,44293,School,2013-01-02,28.07
2962,44294,Engagement,2013-01-02,328.57
16341,44295,School,2013-01-02,21.41
8600,44296,Passport.,2013-01-02,21.71
3706,44297,,2013-01-02,22.439999999999998
12815,44298,Passport,2013-01-02,27.62
8280,44299,School,2013-01-02,24.86
8569,44300,Wedding,2013-01-02,326.23
8061,44301,Official.,2013-01-02,49.510000000000005
16110,44302,Passport,2013-01-02,23.189999999999998
11311,44303,Engagement,2013-01-02,330.85
13767,44304,Wedding.,2013-01-02,325.25
14508,44305,Engagement,2013-01-02,320.14
14800,44306,School.,2013-01-02,30.740000000000002
5196,44307,Official.,2013-01-02,31.14
16708,44308,,2013-01-02,20.89
12361,44309,Wedding,2013-01-02,325.98
6361,44310,Official.,2013-01-02,25.85
6694,44311,Passport.,2013-01-02,27.37
16778,44312,Wedding,2013-01-02,327.9
10128,44313,Official.,2013-01-02,20.810000000000002
8747,44314,Official.,2013-01-02,29.03
16537,44315,SelfTaken.,2013-01-02,29.64
15542,44316,School,2013-01-02,32.14
2975,44317,,2013-01-02,31.15
8138,44318,SelfTaken.,2013-01-02,22.04
8795,44319,Passport.,2013-01-02,32.34
10190,44320,Official,2013-01-02,28.759999999999998
15675,44321,Passport,2013-01-02,36.69
4166,44322,SelfTaken.,2013-01-02,20.45
3502,44323,Official,2013-01-02,32.45
15704,44324,SelfTaken,2013-01-02,24.9
7801,44325,Wedding.,2013-01-02,331.75
12436,44326,SelfTaken.,2013-01-02,37.91
15256,44327,,2013-01-02,23.84
7741,44328,SelfTaken.,2013-01-02,45.09
4116,44329,School.,2013-01-02,26.939999999999998
9691,44330,School,2013-01-02,48.69
3946,44331,Wedding.,2013-01-02,322.17
4950,44332,School.,2013-01-02,34.16
5606,44333,SelfTaken.,2013-01-02,23.740000000000002
4996,44334,School.,2013-01-02,24.57
3148,44335,Wedding,2013-01-02,330.62
11172,44336,Engagement,2013-01-02,323.04
11229,44337,SelfTaken.,2013-01-02,22.55
14040,44338,Engagement.,2013-01-02,325.94
14197,44339,Engagement.,2013-01-02,322.55
4053,44340,Official,2013-01-02,22.43
16841,44341,School.,2013-01-02,23.84
15624,44342,Wedding.,2013-01-02,326.64
10277,44343,School.,2013-01-02,34.66
15308,44344,Official.,2013-01-02,27.9
15905,44345,Engagement,2013-01-02,320.06
8359,44346,Engagement.,2013-01-02,333.57
11405,44347,School.,2013-01-02,30.380000000000003
11124,44348,School,2013-01-02,27.439999999999998
10716,44349,Wedding,2013-01-02,320.42
16810,44350,Wedding,2013-01-02,332.3
15624,44351,Wedding.,2013-01-02,322.67
16315,44352,Passport.,2013-01-02,27.97
9033,44353,SelfTaken,2013-01-02,35.05
16185,44354,Wedding.,2013-01-02,329.48
16233,44355,Engagement,2013-01-02,328.09
4016,44356,,2013-01-02,34.9
16535,44357,SelfTaken.,2013-01-02,20.43
11708,44358,,2013-01-02,20.060000000000002
8353,44359,Engagement.,2013-01-02,320.68
9301,44360,Passport,2013-01-02,20.08
8773,44361,School.,2013-01-02,20.22
15769,44362,Wedding,2013-01-02,339.89
12626,44363,Official.,2013-01-02,37.82
11111,44364,SelfTaken.,2013-01-02,24.36
10105,44365,Official,2013-01-02,27.79
15251,44366,,2013-01-02,38.68
6021,44367,Passport,2013-01-02,28.72
7064,44368,Wedding.,2013-01-02,329.04
11132,44369,,2013-01-02,25.33
9566,44370,School,2013-01-02,24.37
10233,44371,SelfTaken.,2013-01-02,32.83
5068,44372,Engagement,2013-01-02,330.51
15818,44373,Passport,2013-01-02,27.71
4036,44374,Official,2013-01-02,36.629999999999995
8370,44375,SelfTaken.,2013-01-02,45.43
9123,44376,Wedding.,2013-01-02,343.09000000000003
11389,44377,Passport,2013-01-02,24.02
2895,44378,Wedding,2013-01-02,323.85
9764,44379,SelfTaken,2013-01-02,27.3
13300,44380,Wedding,2013-01-02,326.26
4972,44381,School,2013-01-02,23.42
6509,44382,Wedding,2013-01-02,326.94
11660,44383,Official,2013-01-02,31.74
16815,44384,Engagement,2013-01-02,327.45
13181,44385,Official,2013-01-02,31.86
9072,44386,Passport,2013-01-02,31.55
3822,44387,Official.,2013-01-02,27.29
16188,44388,Engagement,2013-01-02,341.88
12232,44389,School,2013-01-02,24.53
11346,44390,,2013-01-02,20.21
10736,44391,SelfTaken,2013-01-02,35.42
11767,44392,School.,2013-01-02,22.53
3168,44393,SelfTaken.,2013-01-02,30.189999999999998
16015,44394,Official.,2013-01-02,21.61
6599,44395,SelfTaken.,2013-01-02,26.22
15122,44396,,2013-01-02,21.57
15860,44397,Engagement.,2013-01-02,337.8
14373,44398,Wedding.,2013-01-02,325.75
15787,44399,Engagement,2013-01-02,331.62
9209,44400,Wedding,2013-01-02,329.87
11896,44401,Wedding,2013-01-02,323.92
10228,44402,,2013-01-02,47.83
4883,44403,Passport,2013-01-02,39.9
12489,44404,Engagement.,2013-01-02,321.81
15818,44405,Official,2013-01-02,26.630000000000003
9598,44406,Engagement,2013-01-02,336.38
12936,44407,Passport.,2013-01-02,27.84
14204,44408,Passport.,2013-01-02,22.78
4439,44409,Wedding.,2013-01-02,325.38
12993,44410,Engagement,2013-01-02,344.86
5710,44411,School,2013-01-02,26.2
7414,44412,Wedding,2013-01-02,327.63
15051,44413,Passport.,2013-01-02,23.32
11292,44414,,2013-01-02,22.95
15086,44415,School.,2013-01-02,35.730000000000004
12788,44416,Official,2013-01-02,30.169999999999998
14806,44417,Official,2013-01-02,26.75
13700,44418,Official.,2013-01-03,30.68
4746,44419,Official,2013-01-03,21.15
16822,44420,Official.,2013-01-03,27.119999999999997
8171,44421,Wedding,2013-01-03,326.8
14398,44422,SelfTaken,2013-01-03,25.39
4444,44423,Wedding,2013-01-03,333.73
5128,44424,SelfTaken,2013-01-03,24.18
3622,44425,Official.,2013-01-03,36.8
12697,44426,School.,2013-01-03,31.29
16602,44427,Engagement,2013-01-03,330.18
4625,44428,Official.,2013-01-03,21.71
10593,44429,Passport,2013-01-03,35.57
14001,44430,Wedding,2013-01-03,321.62
8221,44431,Engagement,2013-01-03,323.56
8954,44432,Wedding,2013-01-03,325.12
9196,44433,Official,2013-01-03,22.17
8619,44434,Wedding.,2013-01-03,329.47
11237,44435,Official.,2013-01-03,21.43
3615,44436,School,2013-01-03,27.34
3418,44437,Passport,2013-01-03,25.689999999999998
12116,44438,School.,2013-01-03,20.939999999999998
7559,44439,School,2013-01-03,22.98
12684,44440,SelfTaken,2013-01-03,39.36
3756,44441,Wedding,2013-01-03,325.04
7456,44442,Engagement,2013-01-03,321.62
10787,44443,Wedding.,2013-01-03,334.64
9551,44444,SelfTaken,2013-01-03,25.73
3514,44445,Wedding.,2013-01-03,329.95
6207,44446,,2013-01-03,27.53
8121,44447,School,2013-01-03,22.03
12320,44448,School.,2013-01-03,34.230000000000004
5120,44449,Passport.,2013-01-03,21.92
3973,44450,Wedding,2013-01-03,330.72
16426,44451,SelfTaken,2013-01-03,25.44
9441,44452,Passport.,2013-01-03,28.740000000000002
6054,44453,School.,2013-01-03,31.200000000000003
7581,44454,Wedding.,2013-01-03,335.9
6245,44455,SelfTaken,2013-01-03,32.69
14554,44456,,2013-01-03,28.32
12803,44457,School.,2013-01-03,21.77
16293,44458,Official,2013-01-03,22.32
15159,44459,Wedding.,2013-01-03,333.97
6399,44460,Official.,2013-01-03,23.42
8539,44461,Passport,2013-01-03,31.39
11949,44462,Wedding,2013-01-03,327.48
12263,44463,Official,2013-01-03,21.75
7255,44464,,2013-01-03,41.94
10138,44465,SelfTaken,2013-01-03,24.189999999999998
15594,44466,Wedding,2013-01-03,325.48
8443,44467,SelfTaken,2013-01-03,26.91
9377,44468,Passport.,2013-01-03,35.87
13540,44469,School.,2013-01-03,36.76
9947,44470,SelfTaken.,2013-01-03,25.53
14916,44471,Official,2013-01-03,20.5
10550,44472,Engagement.,2013-01-03,329.08
10491,44473,School,2013-01-03,20.28
13842,44474,Engagement,2013-01-03,322.72
8672,44475,School,2013-01-03,22.72
3562,44476,Official.,2013-01-03,22.72
11819,44477,Official,2013-01-03,20.119999999999997
14278,44478,SelfTaken,2013-01-03,21.87
15118,44479,Official.,2013-01-03,22.67
6496,44480,SelfTaken.,2013-01-03,20.43
9700,44481,Wedding,2013-01-03,321.17
8604,44482,SelfTaken,2013-01-03,26.53
4427,44483,Engagement.,2013-01-03,326.72
5964,44484,Wedding,2013-01-03,325.05
10080,44485,Wedding.,2013-01-03,325.78
12595,44486,Engagement,2013-01-03,335.61
14585,44487,Official.,2013-01-03,33.93
9020,44488,Official,2013-01-03,29.990000000000002
6332,44489,Official,2013-01-03,38.43
6403,44490,Engagement.,2013-01-03,335.48
12081,44491,SelfTaken,2013-01-03,36.92
13010,44492,School,2013-01-03,24.09
6171,44493,Passport.,2013-01-03,33.49
16170,44494,Official,2013-01-03,34.61
15919,44495,Wedding,2013-01-03,325.19
3799,44496,Wedding.,2013-01-03,329.23
13241,44497,SelfTaken,2013-01-03,22.4
14957,44498,Official,2013-01-03,37.05
11631,44499,SelfTaken.,2013-01-03,22.68
3619,44500,Passport,2013-01-03,25.66
13612,44501,Passport,2013-01-03,24.75
8452,44502,Wedding,2013-01-03,327.85
10138,44503,School,2013-01-03,43.71
13981,44504,SelfTaken,2013-01-03,34.29
14479,44505,Passport.,2013-01-03,26.34
8668,44506,School,2013-01-03,27.91
7552,44507,School,2013-01-03,22.57
2857,44508,Official,2013-01-03,36.769999999999996
4969,44509,School,2013-01-03,37.379999999999995
12150,44510,School.,2013-01-03,30.07
13243,44511,School.,2013-01-03,23.56
6576,44512,School,2013-01-03,24.14
7753,44513,Wedding.,2013-01-03,339.42
9645,44514,Passport.,2013-01-03,23.2
10825,44515,Engagement.,2013-01-03,320.64
11325,44516,Passport.,2013-01-03,22.509999999999998
9343,44517,School,2013-01-03,32.45
10780,44518,Wedding,2013-01-03,327.05
8516,44519,Wedding.,2013-01-03,323.13
5135,44520,Wedding.,2013-01-03,320.9
